"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg2",2893.61216470802,0.0539323199647356,0.0792846643200237,0.680236467257322,0.496354745232682,0.614529341523861
"Plekhg3",69.1082221920218,0.176604672855961,0.248772140396576,0.709905347819212,0.477762833916468,0.597597824907103
"Plekhg1",14.333280112379,1.73434909820418,0.593452920004872,2.92247125212552,0.00347265677031599,0.00818184387986356
"Plekhg6",7.58702572136412,-1.83481205915015,0.590790693886435,-3.10568883047241,0.00189836368903458,0.00468435618641189
"4930592I03Rik",0.725432518265044,-0.993367222519479,3.03689112954274,-0.327100044139234,0.743592218430292,NA
"Plekhg4",18.7258833821506,-0.856656321517885,0.627665958184991,-1.36482839374476,0.172306992370469,0.263603180125874
"Plekhg5",71.2258942014528,-0.169320975875477,0.21164255346143,-0.800032758564947,0.423691817656403,0.54476472435418
"Nsa2",10597.5397616876,-0.0233749395060475,0.0869813210368353,-0.268735163221407,0.788133490480792,0.856788143106276
"Nampt",4763.47674036151,0.773090209445126,0.0665761717864609,11.6121156969609,3.57654992757229e-31,5.95410736732436e-30
"Gm41952",0.0902334285630597,0,6.00582262390151,0,1,NA
"Gm41953",0.436789957265014,-1.97545394289389,5.97593768372433,-0.330568029227297,0.740970798713569,NA
"Gm41950",0,NA,NA,NA,NA,NA
"Vmo1",0.17050175901662,0,6.0058226238711,0,1,NA
"Gm41956",0,NA,NA,NA,NA,NA
"Man2a1",1279.89074142927,-1.25421475545319,0.122745546375463,-10.2180062127607,1.64693380741023e-24,1.98196785766506e-23
"F930015N05Rik",0.778287876823641,-3.96759818490181,4.01492487923087,-0.988212308884313,0.323048681152156,NA
"Gm41955",0,NA,NA,NA,NA,NA
"Gm41958",37.9798371771045,-0.184207262577445,0.358472296547295,-0.513867499250787,0.607344631776936,0.712838222267811
"Mier1",4244.95359769576,0.0758780046445611,0.0799091103319517,0.949553866002951,0.34233898941937,0.460297388666529
"Mier2",1675.19370236019,-0.203267816495219,0.0530274680763621,-3.83325517640222,0.000126458653416972,0.000373520046436986
