Gene
NFKB1
NFATC2IP
PRDM1
GRB2
FOXO1
PLCG1
CD274
NFATC3
MKI67
CD276
CD160
TOX
SATB1
CXCR5
PLCG2
TCF7
TGFB1
NFKB2
TNFRSF9
CD40
HAVCR2
TIGIT
IL10
NFATC4
IDO1
NFATC1
ICOS
BATF
IRF4
YY1
FOXP3
CTLA4
PDCD1
EOMES
CEACAM1
LAG3
CD244
BTLA
TNFRSF14
