"","x"
"363","Mkrn2os"
"364","Mgll"
"365","Gm10684"
"366","Gm13199"
"367","C130050O18Rik"
"368","Scn2b"
"369","Klra6"
"370","Ptpn13"
"371","Klra5"
"372","Npnt"
"373","Asap2"
"374","Cxcr5"
"375","Rnf19b"
"376","Ptms"
"377","Tnip3"
"378","LOC108169147"
"379","Osm"
"380","Padi6"
"381","Gm36429"
"382","Fut4"
"383","Mei4"
"384","Gm35932"
"385","Cers3"
"386","Nxph4"
"387","Gm36470"
"388","9930014A18Rik"
"389","Tg"
"390","A230083G16Rik"
"391","Gpr151"
"392","Snai1"
"393","Kctd17"
"394","Plagl2"
"395","Irf8"
"396","Rmdn3"
"397","Acsl5"
"398","Nfix"
"399","Litaf"
"400","Ppil1"
"401","Mcrip2"
"402","Akap1"
"403","Uhrf1bp1"
"404","Phgdh"
"405","Abhd17c"
"406","Ankrd13b"
"407","Txnrd3"
"408","St6galnac6"
"409","Nr6a1"
"410","Slc19a1"
"411","Epop"
"412","Rcor2"
"413","Ak6"
"414","Ccdc85c"
"415","Atf5"
"416","Stx11"
"417","Zfp296"
"418","Ccnd2"
"419","Chrm4"
"420","4833419F23Rik"
"421","Adap1"
"422","Slc30a4"
"423","Batf"
"424","Egln3"
"425","Ly6a"
"426","Cerox1"
"427","Ppp1r13l"
"428","Gsto1"
"429","Cks1b"
"430","Nr1d1"
"431","Mtfp1"
"432","Gm15283"
"433","Tuba8"
"434","Trip10"
"435","Nkpd1"
"436","Rpp25"
"437","Slc16a13"
"438","Dlk2"
"439","Pcgf2"
"440","Gpt2"
"441","Tspan4"
"442","Slc9a5"
"443","Psph"
"444","Egfl7"
"445","Dhrs13os"
"446","Sh2b2"
"447","Nt5dc2"
"448","Kyat3"
"449","Serf1"
"450","Cbs"
"451","Crnde"
"452","Gm42245"
"453","Lcat"
"454","Klrc1"
"455","Dnaaf3"
"456","Zfp988"
"457","Atp7b"
"458","Kcnc3"
"459","Tnni3"
"460","St6galnac2"
"461","Klrg2"
"462","Cd80"
"463","Nbl1"
"464","Cfap73"
"465","Fam78b"
"466","Hsd3b7"
"467","Jsrp1"
"468","Ckap2"
"469","Pou3f1"
"470","Pcsk1"
"471","2900060B14Rik"
"472","Septin5"
"473","Ryk"
"474","Tlcd2"
"475","Wnk2"
"476","Stag3"
"477","Dusp9"
"478","Actl7b"
"479","Gm12248"
"480","Kcnj14"
"481","Gm34450"
"482","Asns"
"483","Kctd15"
"484","Galnt3"
"485","Gm1604a"
"486","Tnfsf8"
"487","Ksr1"
"488","Cnih2"
"489","Sytl3"
"490","Il2ra"
"491","Dgat2"
"492","Slc7a3"
"493","Gm39759"
"494","P2ry2"
"495","Alcam"
"496","Mdfic"
"497","Ncs1"
"498","Myo10"
"499","Nkain1"
"500","Hoxb9"
"501","AA467197"
"502","Jaml"
"503","Cd44"
"504","B4galt2"
"505","Slc35d3"
"506","Txnrd1"
"507","Aebp1"
"508","Sdf2l1"
"509","Cmss1"
"510","Acot7"
"511","Kcnq5"
"512","Gphn"
"513","Bcat1"
"514","Spire1"
"515","Slc46a1"
"516","Gm32057"
"517","Rnf225"
"518","Nxn"
"519","Cdk6"
"520","Abi2"
"521","Soat2"
"522","Sco2"
"523","Glrp1"
"524","Tmem38b"
"525","Prokr1"
"526","Gm38828"
"527","Kcnk5"
"528","Plekhg4"
"529","Rab39b"
"530","Ddn"
"531","Frmd4b"
"532","Ddr1"
"533","Gm39760"
"534","Tex15"
"535","Setbp1"
"536","Ccr5"
"537","Il1r1"
"538","Cetn4"
"539","Gm5486"
"540","Ephb2"
"541","Fam124b"
"542","LOC114841036"
"543","Tubb6"
"544","Tnfsf4"
"545","Lag3"
"546","Ddx11"
"547","Fes"
"548","Nectin1"
"549","Ifng"
"550","Il3"
"551","Gcnt4"
"552","Acsl6"
"553","Crabp2"
"554","Zbtb32"
"555","Gm16350"
"556","Gm32082"
"557","Il2"
"558","Nkg7"
"559","Gm36181"
"560","Map1b"
"561","Zeb2"
"562","Samd4"
"563","Smim3"
"564","Gzmc"
"565","Nek6"
"566","Plscr1"
"567","Gm36000"
"568","Myo1d"
"569","Atoh8"
"570","Lilr4b"
"571","Lilrb4a"
"572","Plek"
"573","Chst11"
"574","Gm39265"
"575","Kremen2"
"576","Tox2"
"577","Cth"
"578","Cyp11a1"
"579","Serpinb9"
"580","Agpat4"
"581","Ccl9"
"582","Serpinb6b"
"583","Wtip"
"584","Bmp1"
"585","Rasd2"
"586","Angptl4"
"587","Lrfn4"
"588","Prr5"
"589","Rab26os"
"590","Dyrk3"
"591","Stat5a"
"592","Pdia5"
"593","Usp44"
"594","Aph1c"
"595","Plxnb2"
"596","Coro2a"
"597","Fam169a"
"598","Plxna1"
"599","Maoa"
"600","Gpr153"
"601","Lratd1"
"602","Tub"
"603","Cd200"
"604","Il23a"
"605","Csf2"
"606","Smyd1"
"607","Dab2ip"
"608","Npw"
"609","Ldlrad3"
"610","Pdzk1"
"611","Tm4sf5"
"612","Il1a"
"613","Gm49890"
"614","Mst1r"
"615","Chst2"
"616","Xcl1"
"617","Ccl3"
"618","Ccl4"
"619","Lpar3"
"620","Idi2"
"621","Ccl1"
"622","Pipox"
"623","Bdh2"
"624","Il17a"
"625","Klra1"
"626","4930429B21Rik"
"627","Gm32449"
"628","Lrrn4cl"
"629","Jam2"
"630","Gm30797"
"631","Olfr1373"
"632","Muc6"
"633","Ak8"
"634","Insrr"
"635","Fads2"
"636","2200002D01Rik"
"637","Kynu"
"638","Ifi204"
"639","Acod1"
"640","Klra3"
"641","Pkib"
"642","Cxcl9"
"643","Gpr141"
"644","Ctbp2"
"645","Il22"
"646","Heatr9"
"647","Kcnk6"
"648","Slc16a11"
"649","Gm32778"
"650","Mok"
"651","Gm48551"
"652","Gm45928"
"653","Ryr1"
"654","Atp2a1"
"655","Acta1"
"656","Mybpc2"
"657","Tnfrsf11a"
"658","Il23r"
"659","Rbfaos"
"660","Rab34"
"661","Gm33460"
"662","Eomes"
"663","Selp"
"664","Il12rb2"
"665","Gbp5"
"666","Gm16548"
"667","Gm4787"
"668","Tmem107"
"669","Gm14321"
"670","Gm35290"
"671","Eid3"
"672","1700086P04Rik"
"673","Gm12977"
"674","Sh3gl3"
"675","Gm51961"
"676","Guca1b"
"677","Synpo"
"678","Lad1"
"679","Tnnt2"
"680","4833407H14Rik"
"681","Ldlr"
"682","Jph4"
"683","Gm52788"
"684","Gm51960"
"685","Fndc8"
"686","Icam5"
"687","Tbkbp1"
"688","Myo1g"
"689","Pde4a"
"690","Tbx21"
"691","Scn3b"
"692","Gm46238"
"693","Gm15517"
"694","Htr4"
"695","F830016B08Rik"
"696","Gm4841"
"697","Gm4951"
"698","Il18rap"
"699","Ube2l6"
"700","Pomgnt2"
"701","Gm14827"
"702","Gm37053"
"703","Prss16"
"704","Gm20498"
"705","Gm32790"
"706","Ly6i"
"707","Gm32525"
