"","x"
"1","Gm33877"
"2","Tacstd2"
"3","Adamts14"
"4","Ell2"
"5","Pip5k1b"
"6","Kcnj13"
"7","Gm39938"
"8","Gsdme"
"9","Oaf"
"10","Ifitm3"
"11","Il1r2"
"12","Plau"
"13","Cep85l"
"14","Xrcc3"
"15","Cenpi"
"16","Ptprj"
"17","Ggta1"
"18","Ltf"
"19","S100a9"
"20","5430427O19Rik"
"21","Scimp"
"22","Ccne1"
"23","Samd3"
"24","Il10ra"
"25","E530011L22Rik"
"26","Chaf1b"
"27","Gm15473"
"28","Pbx3"
"29","3110070M22Rik"
"30","Ccr1"
"31","Lrrk1"
"32","Rtl5"
"33","Gata2"
"34","Foxa1"
"35","Ncaph"
"36","Ahr"
"37","Aqp9"
"38","Gm40892"
"39","Fgl2"
"40","Havcr2"
"41","Ccl6"
"42","Slco4a1"
"43","Zfp703"
"44","Arhgef10"
"45","Shisa3"
"46","Perp"
"47","Pou4f1"
"48","Prf1"
"49","Slfn10-ps"
"50","Tmtc2"
"51","Dlc1"
"52","Epb41l4b"
"53","Serpine2"
"54","Gzmb"
"55","Il21"
"56","Morrbid"
"57","Alpk2"
"58","Hpcal4"
"59","Cpd"
"60","Gzma"
"61","Pak6"
"62","Fgr"
"63","Tnfrsf8"
"64","Ctla4"
"65","Rasgrf1"
"66","Iqsec2"
"67","Casp6"
"68","Lcn2"
"69","Ngp"
"70","Rragd"
"71","Tnfsf10"
"72","Etv6"
"73","Cbr3"
"74","Dop1b"
"75","2310043M15Rik"
"76","Mcpt8"
"77","Apoa1"
"78","Lipg"
"79","Ier3"
"80","Runx2"
"81","Cxcr3"
"82","Vash1"
"83","Gm52567"
"84","Gpr162"
"85","Rpl39l"
"86","A930038B10Rik"
"87","Dlg5"
"88","Tjp2"
"89","Gpr137b"
"90","Spib"
"91","Car11"
"92","Ly6c1"
"93","Clec9a"
"94","Tmem51"
"95","A530032D15Rik"
"96","Mrm2"
"97","Cd38"
"98","Naip2"
"99","Rhbdl3"
"100","Itpripl2"
"101","Il12b"
"102","Ly86"
"103","Ccr3"
"104","Gnb5"
"105","Sulf2"
"106","Tgm2"
"107","Mt1"
"108","Stom"
"109","Fcer1g"
"110","Mmp19"
"111","Unc119"
"112","6030442K20Rik"
"113","Fsbp"
"114","Lgals3"
"115","Csf2rb"
"116","Irf5"
"117","Tshz3"
"118","Eps8"
"119","Sh3pxd2b"
"120","Adam23"
"121","Tbc1d8"
"122","Ptafr"
"123","Cttnbp2nl"
"124","Csf2rb2"
"125","Clec7a"
"126","Ifi207"
"127","Peg10"
"128","Cmbl"
"129","Mpo"
"130","Asprv1"
"131","Edn1"
"132","Psrc1"
"133","Usp27x"
"134","Coch"
"135","Adap2"
"136","Cd163l1"
"137","5830411N06Rik"
"138","Fibcd1"
"139","Bsn"
"140","Gm40755"
"141","C3"
"142","Gdpd5"
"143","Isg20"
"144","Ascl4"
"145","Nudt17"
"146","Pstpip2"
"147","Prx"
"148","Gm39678"
"149","Palld"
"150","Gm38632"
"151","Gpr4"
"152","Spata31d1b"
"153","Ccdc85b"
"154","Lta"
"155","Ifitm2"
"156","Fosl1"
"157","Gm31400"
"158","Gm30271"
"159","Gm51897"
"160","Spry4"
"161","Cldn12"
"162","Ndufa12"
"163","2010204K13Rik"
"164","2610318N02Rik"
"165","Eef1e1"
"166","Arhgdig"
"167","Chac1"
"168","Ybx3"
"169","Mthfd2"
"170","Pecr"
"171","Tpst1"
"172","Fndc3b"
"173","Alpl"
"174","Bbs12"
"175","Gm31718"
"176","Acot4"
"177","Cd83"
"178","Lsmem2"
"179","Gm26666"
"180","Kcns1"
"181","Bspry"
"182","Khdc3"
"183","Casp4"
"184","Utf1"
"185","Map2k3"
"186","Gadd45b"
"187","Bcl2l1"
"188","Crtam"
"189","Naf1"
"190","Cish"
"191","Mfsd2a"
"192","Reep6"
"193","Il15ra"
"194","Map2"
"195","Gm13205"
"196","Gm46965"
"197","Ak4"
"198","Hk2"
"199","Sh3bp2"
"200","Pck2"
"201","Fzd9"
"202","Slc6a9"
"203","Nomo1"
"204","Eif4ebp1"
"205","Psat1"
"206","Srm"
"207","Slc29a2"
"208","St6galnac4"
"209","Ppa1"
"210","Car12"
"211","Myo19"
"212","Fnip2"
"213","Slc25a33"
"214","Vwa5b2"
"215","Marchf1"
"216","LOC115488151"
"217","Lhfpl2"
"218","D230017M19Rik"
"219","Gm44851"
"220","Gm46799"
"221","Gm39612"
"222","Masp2"
"223","Lyrm1"
"224","Gm3739"
"225","B930095G15Rik"
"226","Gm31595"
"227","Gm30352"
"228","Gm2762"
"229","Sh3rf1"
"230","Srgap3"
"231","Rgs16"
"232","Eea1"
"233","Gm46514"
"234","Cldnd2"
"235","Aoc3"
"236","Actl7a"
"237","Dnph1"
"238","Slc7a11"
"239","Ak7"
"240","Nrn1"
"241","Bcl2a1a"
"242","Mir155hg"
"243","6430571L13Rik"
"244","Map2k3os"
"245","Hivep3"
"246","Rbpms2"
"247","Prag1"
"248","Bhlhe40"
"249","Celf4"
"250","Adora2b"
"251","Sema7a"
"252","Il12rb1"
"253","Slamf7"
"254","Lif"
"255","LOC115488814"
"256","Gm29721"
"257","Gm2808"
"258","Tnfsf14"
"259","Pdcd1"
"260","Tnfsf11"
"261","F3"
"262","Gm52771"
"263","Prelid3a"
"264","4930429P21Rik"
"265","Xcr1"
"266","Irak1bp1"
"267","Inhba"
"268","Asph"
"269","Sgms2"
"270","Clcn5"
"271","Gm35520"
"272","Rorc"
"273","AI506816"
"274","Ccdc8"
"275","Ripk4"
"276","Evpl"
"277","Gm41424"
"278","5730405A17Rik"
"279","Tmem17"
"280","Brd3os"
"281","LOC115486976"
"282","Lingo1"
"283","Tspan6"
"284","Cox6a2"
"285","Sema6d"
"286","Gm40695"
"287","1700092M07Rik"
"288","Ano7"
"289","LOC115486442"
"290","Timp1"
"291","1700034H15Rik"
"292","Gm17029"
"293","Gm36635"
"294","Cspg5"
"295","Gm30012"
"296","LOC108167564"
"297","Spata33"
"298","LOC115486128"
"299","Gm49566"
"300","Gm39874"
"301","Gm2479"
"302","Gm51995"
"303","Gm32643"
"304","Lamc1"
"305","Gm39335"
"306","Gm38712"
"307","Gm52552"
"308","Nlrp6"
"309","Nr4a1"
"310","Egr4"
"311","Gm42141"
"312","Gm36677"
"313","Acp4"
"314","Gm52735"
"315","9330179D12Rik"
"316","Gm39165"
"317","Gm41861"
"318","Gm40363"
"319","Ramp3"
"320","Abcb4"
"321","Ccr8"
"322","Gm32925"
"323","Gm36660"
"324","Apold1"
"325","Gm17455"
"326","Papss2"
"327","9530053A07Rik"
"328","Gm15834"
"329","Izumo1r"
"330","Areg"
"331","Tspoap1"
"332","Gm30466"
"333","Gm29050"
"334","Rtn4rl2"
"335","Rwdd3"
"336","B230216N24Rik"
"337","Gm38528"
"338","Gm52129"
"339","Grip2"
"340","Gm52710"
"341","Gm33148"
"342","Arc"
"343","Efnb3"
"344","Npc1l1"
"345","Rtn2"
"346","Sec14l5"
"347","Dpf1"
"348","Stc2"
"349","Gm26511"
"350","Oxt"
"351","Ch25h"
"352","Zfp534"
"353","Gm15401"
"354","Ptpn3"
"355","Rilpl2"
"356","Map3k8"
"357","Gadd45g"
"358","Serpina3f"
"359","Serpina3g"
"360","Ccdc24"
"361","Marcksl1"
"362","Hpdl"
