"","x"
"241","AA543186"
"242","4930509E16Rik"
"243","Gm29975"
"244","Gm8273"
"245","Gm33272"
"246","LOC108168645"
"247","Chic1"
"248","Gm13388"
"249","Gm4419"
"250","Gm16793"
"251","LOC115490409"
"252","E030042O20Rik"
"253","Gm33742"
"254","Gm19665"
"255","Atl1"
"256","Ankrd53"
"257","Gm51912"
"258","Gpr21"
"259","Gm46295"
"260","Aloxe3"
"261","LOC115490214"
"262","LOC115488789"
"263","Gm52887"
"264","Vmn2r97"
"265","Cenpk"
"266","Gm6297"
"267","Nipa1"
"268","Gm36109"
"269","Tmem269"
"270","Thrb"
"271","Gm32934"
"272","Gm32313"
"273","E230001N04Rik"
"274","Ccl27a"
"275","Gm50340"
"276","Gm42376"
"277","Gm19897"
"278","Gm13710"
"279","9330198N18Rik"
"280","F730311O21Rik"
"281","Gm46830"
"282","Slc25a40"
"283","Gm30948"
"284","Pygl"
"285","Irf6"
"286","Khdrbs3"
"287","5730405O15Rik"
"288","Zfp185"
"289","Nyap1"
"290","Elovl7"
"291","Gm16083"
"292","Fam183b"
"293","Gm16638"
"294","Hoxa3"
"295","Ifi208"
"296","Prss12"
"297","Calcoco1"
"298","Cyp2d22"
"299","1810034E14Rik"
"300","Gm35065"
"301","Acvr2b"
"302","Tbx6"
"303","Nme7"
"304","Gm36266"
"305","Gm51673"
"306","Rufy4"
"307","Parp16"
"308","Pbld2"
"309","Gm51665"
"310","Art2b"
"311","Plekhg2"
"312","4931428F04Rik"
"313","Ctso"
"314","2810408A11Rik"
"315","Gm31560"
"316","Zmiz1os1"
"317","Gm28809"
"318","Pdk2"
"319","Oas1c"
"320","Myo1f"
"321","Il6ra"
"322","Abtb1"
"323","Spata6"
"324","Add1"
"325","Dgka"
"326","Tpcn1"
"327","Rnasel"
"328","Nemp2"
"329","Trpv2"
"330","Otulinl"
"331","Sh3bp5"
"332","Zfp945"
"333","Fam189b"
"334","Phf1"
"335","Mettl27"
"336","Cnp"
"337","Pea15a"
"338","Sema4f"
"339","Cdc25b"
"340","Mturn"
"341","Capn2"
"342","Acss1"
"343","Rbl2"
"344","Fbxl20"
"345","Cdk19"
"346","Epha1"
"347","Rslcan18"
"348","Gm12107"
"349","Fndc9"
"350","Cd101"
"351","Susd1"
"352","Akap7"
"353","Gm46811"
"354","Gm10814"
"355","Card14"
"356","Gm12474"
"357","Haao"
"358","Cacna2d4"
"359","Crebl2"
"360","Gm17552"
"361","Rassf2"
"362","Sntb1"
"363","Cntrob"
"364","Zbtb4"
"365","Usp35"
"366","Pgpep1l"
"367","Fam111a"
"368","Frmd8"
"369","Lgals4"
"370","Gm30054"
"371","Zer1"
"372","Slc12a6"
"373","Fmo5"
"374","A930006K02Rik"
"375","Zfhx3"
"376","9930111J21Rik2"
"377","9930111J21Rik1"
"378","Gm42372"
"379","A430046D13Rik"
"380","Sfxn4"
"381","2610035D17Rik"
"382","Nudt16"
"383","Lpar6"
"384","Ccpg1os"
"385","Zfp78"
"386","Enpp5"
"387","Tcta"
"388","Tube1"
"389","Gm36631"
"390","Lrrc75b"
"391","Ifitm10"
"392","Gm33126"
"393","Fam78a"
"394","Tor4a"
"395","Zscan2"
"396","Pias3"
"397","Mindy2"
"398","Prxl2c"
"399","Gprc5b"
"400","Depdc1b"
"401","BC106179"
"402","Itgb3"
"403","Plekhm3"
"404","Mns1"
"405","Spock2"
"406","Ech1"
"407","Lasp1"
"408","Ypel3"
"409","Gpsm3"
"410","Slc25a45"
"411","Klhl36"
"412","Sgsh"
"413","Il16"
"414","Icosl"
"415","Ubash3a"
"416","Mxi1"
"417","Mpv17l"
"418","Gm15506"
"419","Tsga10"
"420","Slc25a27"
"421","Spice1"
"422","Lypd6b"
"423","Gm16576"
"424","Rrm2b"
"425","Zfp3"
"426","A530072M11Rik"
"427","2010001A14Rik"
"428","Espn"
"429","Gm30603"
"430","Thap3"
"431","N4bp2l1"
"432","Snx14"
"433","Zfp395"
"434","Emc9"
"435","Thra"
"436","Pcmtd2"
"437","Narf"
"438","Gm28913"
"439","St8sia6"
"440","Dip2a"
"441","Tmie"
"442","Wdr19"
"443","Klhdc1"
"444","Tmem71"
"445","Hs1bp3"
"446","Cyp2s1"
"447","Mr1"
"448","1700025G04Rik"
"449","Rnf32"
"450","C230037L18Rik"
"451","Patl2"
"452","Gm32391"
"453","Dusp19"
"454","Ccdc173"
"455","Tmem126b"
"456","Pdlim2"
"457","Arl5c"
"458","Cbx2"
"459","Ar"
"460","Lockd"
"461","Rftn2"
"462","Gm30368"
"463","Gm45972"
"464","Try5"
"465","2900079G21Rik"
"466","Irgc1"
"467","A430035B10Rik"
"468","Gm20234"
"469","Myl4"
"470","Gm46319"
"471","Gm12596"
"472","Gm16158"
"473","Gm34596"
"474","Gm15326"
"475","Sytl2"
"476","C030016D13Rik"
"477","Gsto2"
"478","Gm52062"
"479","Adgrb2"
"480","Gm42722"
"481","Gm26698"
"482","Amdhd1"
"483","H2bc21"
"484","Zfp839"
"485","Gm33682"
"486","Gm39831"
"487","4930480K23Rik"
"488","Ccdc15"
"489","Gm11723"
"490","LOC102631992"
"491","LOC115487747"
"492","Gm32904"
"493","Gm34375"
"494","Gm32178"
"495","Hoxa2"
"496","Pde9a"
"497","Vwce"
"498","Fam131a"
"499","Tll2"
"500","C230062I16Rik"
"501","Gm32316"
"502","Cstad"
"503","Bcar1"
"504","1700055D18Rik"
"505","Gm15232"
"506","Gm46345"
"507","Gm39888"
"508","Scarf1"
"509","Spats2l"
