"","x"
"1","Gm32525"
"2","Zfp773"
"3","Ormdl3"
"4","Zfp790"
"5","Lpxn"
"6","Spdl1"
"7","Mboat2"
"8","Zfp324"
"9","Tmem140"
"10","Nudt22"
"11","Cacna1b"
"12","Pde5a"
"13","4933422A05Rik"
"14","Syt14"
"15","Clec4e"
"16","Il1b"
"17","Gm46687"
"18","Apol7c"
"19","Arhgap22"
"20","Fkbpl"
"21","Slc12a8"
"22","Ankrd37"
"23","Gkap1"
"24","Gm30992"
"25","Gab2"
"26","Nfkbia"
"27","Mrpl49"
"28","Gm31320"
"29","Lxn"
"30","Ifngas1"
"31","D530033B14Rik"
"32","Cd200r4"
"33","Gbp8"
"34","Samhd1"
"35","Tgtp1"
"36","Gbp7"
"37","Iigp1"
"38","Junos"
"39","Egr1"
"40","5830468F06Rik"
"41","Egr3"
"42","Bcl6b"
"43","Dnah9"
"44","Ticam2"
"45","Olfr56"
"46","Gbp3"
"47","Gbp2"
"48","Gbp6"
"49","Gbp10"
"50","Gm12185"
"51","Gm40158"
"52","Gbp4"
"53","Cxcl10"
"54","4933412E12Rik"
"55","Gm4070"
"56","Gvin1"
"57","Gm43380"
"58","Rtp4"
"59","Aadacl2fm2"
"60","Tlr2"
"61","Gm9734"
"62","Pxmp2"
"63","Calhm6"
"64","Rnf122"
"65","Sarm1"
"66","Tyro3"
"67","St6galnac3"
"68","Gm11827"
"69","4930405A21Rik"
"70","LOC115490186"
"71","D730003I15Rik"
"72","Agrp"
"73","Id3"
"74","Gm10505"
"75","Gm50217"
"76","Sapcd2"
"77","Ltb"
"78","Tnfrsf25"
"79","Irgm2"
"80","2010016I18Rik"
"81","Gng4"
"82","Plp1"
"83","Gm34065"
"84","Gm39556"
"85","Tmem35b"
"86","Peak1"
"87","Amn1"
"88","4930565N06Rik"
"89","Myo1b"
"90","Epn2"
"91","Gm10863"
"92","Evi2b"
"93","Ggnbp2os"
"94","4933424L21Rik"
"95","Gm11767"
"96","Slc37a2"
"97","Gp1ba"
"98","Fam221a"
"99","Vamp1"
"100","Nagk"
"101","Slc26a11"
"102","Amdhd2"
"103","Pkp3"
"104","Rarg"
"105","Tbc1d10c"
"106","Izumo4"
"107","Traf3ip3"
"108","Gm36897"
"109","Gm11613"
"110","Fxyd7"
"111","Hacl1"
"112","Gm26740"
"113","I730030J21Rik"
"114","Isoc2b"
"115","Gm39009"
"116","Rdm1"
"117","Aldoc"
"118","Gm52743"
"119","Gm5817"
"120","Gm40106"
"121","Sv2c"
"122","2310047D07Rik"
"123","Gm19605"
"124","Zfp704"
"125","Zfp760"
"126","Hspb1"
"127","Hspa1b"
"128","Hspa1a"
"129","Gprasp2"
"130","Gprasp1"
"131","Gm16998"
"132","D930048N14Rik"
"133","4833447I15Rik"
"134","Gm36171"
"135","Msrb3"
"136","Senp8"
"137","Fhl4"
"138","Ccdc9b"
"139","Kantr"
"140","Gm30693"
"141","Scrn3"
"142","Gm32483"
"143","Apbb1"
"144","Itga7"
"145","2010315B03Rik"
"146","Gm42074"
"147","BC051226"
"148","Kcna2"
"149","Gm20139"
"150","Katnal1"
"151","1700012D14Rik"
"152","D130020L05Rik"
"153","Gm33195"
"154","Gm31527"
"155","3830403N18Rik"
"156","LOC101056296"
"157","Mterf1b"
"158","C920006O11Rik"
"159","Gm32276"
"160","Gm39859"
"161","Pram1"
"162","Orm3"
"163","Rasgrp1"
"164","Hspa4l"
"165","Xdh"
"166","Nxf2"
"167","Wdr54"
"168","Slc5a10"
"169","Kit"
"170","Grin2c"
"171","Itga9"
"172","Chst10"
"173","4933433G15Rik"
"174","Gm33345"
"175","E130112N10Rik"
"176","Gm52422"
"177","Gm44140"
"178","Gm32994"
"179","Gm46741"
"180","Gm15408"
"181","Ccdc122"
"182","Gm5922"
"183","Adcy5"
"184","Gm4890"
"185","Gm12758"
"186","Ston1"
"187","Cdk5rap1"
"188","Palm3"
"189","Gpr83"
"190","Cyb5d2"
"191","B430319F04Rik"
"192","Gm4924"
"193","Gm31616"
"194","D030055H07Rik"
"195","Sapcd1"
"196","Gm41598"
"197","Krt222"
"198","Trpv4"
"199","Xist"
"200","Pip5kl1"
"201","Smoc1"
"202","Inafm1"
"203","Ccdc148"
"204","Gm50587"
"205","Gm39575"
"206","Gm39712"
"207","Igsf23"
"208","Gm16225"
"209","9330136K24Rik"
"210","Cd40lg"
"211","Peak1os"
"212","Stox2"
"213","Gm41506"
"214","Gm38797"
"215","Gm41689"
"216","D030074P21Rik"
"217","Gm32031"
"218","2810414N06Rik"
"219","Colq"
"220","Ephx1"
"221","Tmem121b"
"222","Cldn10"
"223","Msgn1"
"224","C730014E05Rik"
"225","Jarid2"
"226","Cnksr3"
"227","Tbc1d30"
"228","Gm46294"
"229","BC037704"
"230","Gm10615"
"231","5430400D12Rik"
"232","Gm13276"
"233","Cfap99"
"234","4930502E09Rik"
"235","Podxl2"
"236","Gm34655"
"237","Gm35578"
"238","Tnfrsf19"
"239","Sp6"
"240","Gm46098"
