"","x"
"315","LOC108167751"
"316","Dpp4"
"317","Patj"
"318","Lrch4"
"319","Abcd1"
"320","Fbxl12"
"321","Faah"
"322","Madd"
"323","Pde2a"
"324","Tmem63a"
"325","Gm31504"
"326","Fyb"
"327","Sh2d3c"
"328","Lmntd2"
"329","Ifi213"
"330","Gm20559"
"331","Rgs14"
"332","Ap3m2"
"333","Arhgap45"
"334","Itpr3"
"335","Appl2"
"336","Abr"
"337","Ptpre"
"338","Laptm5"
"339","Orai2"
"340","Bin2"
"341","Arhgap9"
"342","Cdkn1b"
"343","Mrtfa"
"344","Mical1"
"345","Ndc80"
"346","Cilk1"
"347","Tmc6"
"348","Galnt6os"
"349","Arhgef18"
"350","Syne1"
"351","Rexo5"
"352","Afap1"
"353","Slc28a2b"
"354","Slc28a2"
"355","Sun2"
"356","Map4k2"
"357","Slc12a7"
"358","Insr"
"359","Caprin2"
"360","Gm11342"
"361","Gm32234"
"362","Heatr5a"
"363","Fam214a"
"364","D2hgdh"
"365","Txk"
"366","Ttyh3"
"367","Acss2"
"368","Gprin3"
"369","Gm33747"
"370","A930028N01Rik"
"371","Mical2"
"372","Siah3"
"373","Gm40799"
"374","Fgfr1"
"375","Acsbg1"
"376","Serp2"
"377","Pear1"
"378","Abcb1a"
"379","Btg2"
"380","Gm19557"
"381","Cacnb1"
"382","Stx2"
"383","Fbxw10"
"384","Spaca1"
"385","4930481A15Rik"
"386","Cenpa"
"387","Fanci"
"388","Rdh5"
"389","Fam83f"
"390","A430088P11Rik"
"391","Sh3tc1"
"392","Neurl1b"
"393","Man1c1"
"394","Plec"
"395","5033421B08Rik"
"396","Neil1"
"397","Dhx40"
"398","Enpp1"
"399","Xylt1"
"400","L1cam"
"401","Tmem198b"
"402","Scml4"
"403","Tspan13"
"404","S1pr4"
"405","Ccdc28a"
"406","Gm15441"
"407","Psd2"
"408","H2-Ob"
"409","Slc43a2"
"410","Adgre5"
"411","Gm34006"
"412","Phyhd1"
"413","Ampd3"
"414","Btnl2"
"415","Jazf1"
"416","Gm34656"
"417","Padi3"
"418","Kifap3"
"419","Slain1os"
"420","LOC102639428"
"421","Kctd11"
"422","4930515G01Rik"
"423","Capn5"
"424","Cbx8"
"425","Tlr12"
"426","Rpain"
"427","Car7"
"428","Prss30"
"429","Siae"
"430","Tctn1"
"431","Gm32566"
"432","9530077C05Rik"
"433","Rhobtb2"
"434","Card6"
"435","Crebrf"
"436","Tonsl"
"437","Dck"
"438","Klc4"
"439","Ctdsp2"
"440","Ctsd"
"441","Zfp386"
"442","Cd7"
"443","Aqp3"
"444","Ccng2"
"445","Snx20"
"446","Dnajc28"
"447","Prmt9"
"448","Snx30"
"449","Cerk"
"450","Ranbp10"
"451","Pik3ip1"
"452","Hdac5"
"453","Tnip1"
"454","Armcx1"
"455","1700097N02Rik"
"456","Paqr8"
"457","Kcnip2"
"458","Mrnip"
"459","Smpd5"
"460","Jup"
"461","Rab4a"
"462","Sesn1"
"463","Rgmb"
"464","Sit1"
"465","AI467606"
"466","Cby1"
"467","Dnaaf4"
"468","Sh3bp4"
"469","Mgst3"
"470","Cd81"
"471","Palm"
"472","Cecr2"
"473","Ier5l"
"474","Zfp763"
"475","Akap12"
"476","Slc7a4"
"477","Gm15327"
"478","Cep295nl"
"479","Mast4"
"480","Gm40475"
"481","Fggy"
"482","Pyroxd2"
"483","Mrvi1"
"484","Gm38485"
"485","Cybrd1"
"486","Arhgap23"
"487","Gm52877"
"488","Gm51801"
"489","4930439D14Rik"
"490","Depdc1a"
"491","Cd55b"
"492","Padi1"
"493","Nr1h3"
"494","Trim17"
"495","C1ql3"
"496","Zcchc12"
"497","C330013E15Rik"
"498","Gm19765"
"499","Grhl3"
"500","Gpat3"
"501","Mag"
"502","Gm32707"
"503","Rgl1"
"504","Ovol2"
"505","Arhgap29"
"506","Sgip1"
"507","Galnt9"
"508","Gm38457"
"509","Zfyve28"
"510","Arpp21"
"511","Abcc3"
"512","Scg5"
"513","LOC115487945"
"514","Cnpy4"
"515","Fgf13"
"516","Skap2"
"517","Pacsin3"
"518","A830005F24Rik"
"519","5830433I10Rik"
"520","Marchf3"
"521","St8sia4"
"522","Plin2"
"523","Sbk1"
"524","Tmem108"
"525","Tbxa2r"
"526","Acox1"
"527","Pak1"
"528","Sema6c"
"529","Lncpint"
"530","Syt12"
"531","Eif2ak3"
"532","Abca1"
"533","Baiap2"
"534","Smad7"
"535","Tcp11l2"
"536","Rnf125"
"537","Tubb2a"
"538","Axin2"
"539","Abhd15"
"540","Mknk2"
"541","Stx1a"
"542","Ahdc1"
"543","Tubb2b"
"544","Pde4d"
"545","Setd1b"
"546","Timp2"
"547","Hbp1"
"548","Pdcd4"
"549","Prrt1"
"550","Slc27a6"
"551","Itga6"
"552","Fbxo32"
"553","Abcg1"
"554","Pxylp1"
"555","Slc6a19os"
"556","Gm572"
"557","Hr"
"558","Plch1"
"559","Ncald"
"560","2900026A02Rik"
"561","Dennd3"
"562","Mn1"
"563","Cpm"
"564","Gnat1"
"565","Spsb1"
"566","Klf4"
"567","Kctd12b"
"568","Plcl1"
"569","Rps6ka2"
"570","Esr1"
"571","Dusp10"
"572","Eya2"
"573","Rasgrp2"
"574","Iqgap2"
"575","Dtx1"
"576","Ggt1"
"577","Tnfrsf1b"
"578","Dhrs3"
"579","Mideas"
"580","Mycl"
"581","Poc1a"
"582","Chst12"
"583","Gm5547"
"584","Bmf"
"585","Ramp1"
"586","Frat1"
"587","Wnt5b"
"588","Rhod"
"589","Parvb"
"590","Iqgap3"
"591","Phf11c"
"592","Plxdc1"
"593","Itgae"
"594","Inpp5d"
"595","Epb41l1"
"596","Capn3"
"597","Gm35551"
"598","Pdlim4"
"599","Gm19497"
"600","Gm32006"
"601","Bace1"
"602","Osgin1"
"603","Ugcg"
"604","Peg13"
"605","Rell1"
"606","Cep164"
"607","S1pr1"
"608","Camk2b"
"609","Racgap1"
"610","Vps37b"
"611","Emid1"
"612","Aldh5a1"
"613","Arhgap31"
"614","Zfr2"
"615","Evi2a"
"616","BC049715"
"617","Gm16214"
"618","Scrt1"
"619","Tram2"
"620","Acpp"
"621","Plekha7"
"622","Gm32633"
"623","Klhl3"
"624","Tnrc6b"
"625","Sptbn1"
"626","Smarca2"
"627","Ttc28"
"628","Dzip1"
"629","Gm16069"
"630","Adcy7"
"631","Als2cl"
"632","Atg9a"
"633","Hid1"
"634","Plekha6"
"635","Gramd3"
"636","Il7r"
"637","Ephb6"
"638","Dnajc6"
"639","Atad2"
"640","Pmel"
"641","Pde7a"
"642","Hoxa6"
"643","Stim1"
"644","Lef1"
"645","Crlf3"
"646","Eng"
"647","Cnst"
"648","Stk10"
"649","Gse1"
"650","Arhgap25"
"651","Fgd3"
"652","Grap2"
"653","Jakmip1"
"654","Mxd4"
"655","Rcan3"
"656","Gm32059"
"657","Actn2"
"658","Dapl1"
"659","AI847159"
"660","Wls"
"661","Arhgap19"
"662","Nfia"
"663","Gm20544"
"664","Bbs9"
"665","G430095P16Rik"
"666","Nfam1"
"667","Rab3d"
"668","Tdrp"
